Transcript	dNdS	pNpS	Mk_10pct
Manes.01G013700.1.v7.1	0.16828	2.5	-13.856192060851
Manes.01G013800.1.v7.1	0.35203	1.14285714285714	-2.24647655841019
Manes.01G014000.5.v7.1	0.34968	Inf	-Inf
Manes.01G014100.1.v7.1	0.32918	1.14285714285714	-2.47183043580151
Manes.01G014500.1.v7.1	0.20959	1.75	-7.34963500166993
Manes.01G014700.2.v7.1	0.16997	1.16666666666667	-5.86395638446002
Manes.01G014800.1.v7.1	0.49723	Inf	-Inf
Manes.01G014900.3.v7.1	0.17915	0.714285714285714	-2.98708185479048
Manes.01G015300.1.v7.1	0.23192	0.666666666666667	-1.87455444406117
Manes.01G015400.1.v7.1	0.16445	0.615384615384615	-2.74207732067264
Manes.01G015500.1.v7.1	0.40435	1.2	-1.96772597996785
Manes.01G015600.1.v7.1	0.58487	Inf	-Inf
Manes.01G015700.1.v7.1	0.13445	0.125	0.0702863518036444
Manes.01G015800.1.v7.1	0.21827	2.2	-9.07925963256517
Manes.01G016000.4.v7.1	0.04911	0	1
Manes.01G016300.3.v7.1	0.0715	0.375	-4.24475524475525
Manes.01G016600.1.v7.1	0.21233	0.375	-0.766118777374841
Manes.01G016800.1.v7.1	0.05774	0	1
Manes.01G016900.1.v7.1	0.04844	0.666666666666667	-12.7627305257363
Manes.01G017000.1.v7.1	0.10802	0.363636363636364	-2.36637996330646
Manes.01G017200.1.v7.1	0.10707	0.125	-0.167460539833754
Manes.01G017300.1.v7.1	0.05429	2	-35.8391969055075
Manes.01G017500.1.v7.1	0.15147	Inf	-Inf
Manes.01G017532.1.v7.1	2	Inf	-Inf
Manes.01G017548.2.v7.1	1e-04	Inf	-Inf
Manes.01G017600.1.v7.1	0.37133	0.6	-0.615813427409582
Manes.01G017800.1.v7.1	0.20917	1	-3.78080030597122
Manes.01G017900.1.v7.1	0.36273	0.944444444444444	-1.60371197431821
Manes.01G018000.1.v7.1	0.2386	0.75	-2.14333612740989
Manes.01G018200.1.v7.1	0.34194	1.5	-3.38673451482716
Manes.01G018300.2.v7.1	0.20158	0.928571428571429	-3.60646606097544
Manes.01G018400.3.v7.1	0.22475	0.125	0.443826473859844
Manes.01G018600.1.v7.1	0.21421	1.41666666666667	-5.61344786268928
Manes.01G018700.1.v7.1	0.30286	2.16666666666667	-6.15402055955448
Manes.01G018800.1.v7.1	0.17584	0.416666666666667	-1.36957840461025
Manes.01G018900.1.v7.1	0.26404	2.25	-7.52143614603848
Manes.01G019100.1.v7.1	0.18778	2	-9.65076152944935
Manes.01G019200.1.v7.1	0.31239	0.866666666666667	-1.77430989041476
Manes.01G019300.1.v7.1	0.31374	1.375	-3.38260980429655
Manes.01G019400.1.v7.1	0.22267	0.8	-2.59276058741636
Manes.01G019600.4.v7.1	0.1092	0.272727272727273	-1.4975024975025
Manes.01G019700.1.v7.1	0.25326	0.0833333333333333	0.670957382400169
Manes.01G019900.1.v7.1	0.15696	0.75	-3.7782874617737
Manes.01G020000.1.v7.1	0.2211	0.230769230769231	-0.0437323870159703
Manes.01G020100.5.v7.1	0.13854	0.2	-0.4436263894904
Manes.01G020200.2.v7.1	0.12229	1	-7.17728350641917
Manes.01G020300.2.v7.1	0.1887	3	-14.8982511923688
Manes.01G020400.2.v7.1	0.27089	0.333333333333333	-0.230511769845077
Manes.01G020500.3.v7.1	0.14819	0.5	-2.37404683177003
Manes.01G020600.1.v7.1	0.16341	0.333333333333333	-1.03985884176815
Manes.01G020700.3.v7.1	0.229	2.66666666666667	-10.6448326055313
Manes.01G020800.1.v7.1	0.11963	1.71428571428571	-13.3298981383074
Manes.01G021100.1.v7.1	0.56508	0.666666666666667	-0.179773955310163
Manes.01G021200.2.v7.1	0.01694	0	1
Manes.01G021250.1.v7.1	2	6	-2
Manes.01G021300.1.v7.1	0.32975	0.833333333333333	-1.52716704574172
Manes.01G021500.1.v7.1	0.36502	0.8	-1.19166073091885
Manes.01G021600.4.v7.1	0.08447	0	1
Manes.01G021700.1.v7.1	0.2726	0.333333333333333	-0.222792858889703
Manes.01G021800.1.v7.1	0.38243	1.33333333333333	-2.48647682800337
Manes.01G021900.1.v7.1	0.14496	0.571428571428571	-2.94197414064963
Manes.01G022000.1.v7.1	0.06082	0	1
Manes.01G022300.7.v7.1	0.16244	0.352941176470588	-1.17274794675319
Manes.01G022400.1.v7.1	0.36102	1	-1.76992964378705
Manes.01G022600.2.v7.1	0.19709	1.5	-6.6107362118829
Manes.01G022750.1.v7.1	0.19366	1	-4.16368893937829
Manes.01G022900.1.v7.1	0.15799	1	-5.32951452623584
Manes.01G023000.1.v7.1	0.36977	0.25	0.323904048462558
Manes.01G023200.1.v7.1	0.12123	0.636363636363636	-4.24922573920346
Manes.01G023300.1.v7.1	0.30306	1.25	-3.12459578961262
Manes.01G023400.1.v7.1	0.33884	0.5	-0.475622712784795
Manes.01G023700.1.v7.1	0.08703	0	1
Manes.01G023900.2.v7.1	0.18877	4	-20.1898077024951
Manes.01G024000.1.v7.1	0.15268	0.333333333333333	-1.18321543969959
Manes.01G024100.1.v7.1	0.28322	2.5	-7.82706023585905
Manes.01G024200.1.v7.1	0.51382	3	-4.83862052858978
Manes.01G024300.1.v7.1	0.17238	0.8	-3.64090961828518
Manes.01G024400.3.v7.1	0.14243	0.4	-1.80839710735098
Manes.01G024600.1.v7.1	0.268	2	-6.46268656716418
Manes.01G024700.1.v7.1	0.12053	3	-23.8900688625239
Manes.01G025000.3.v7.1	0.34369	3	-7.72879629899037
Manes.01G025100.2.v7.1	0.13722	0.428571428571429	-2.12324317571366
Manes.01G025200.1.v7.1	0.26797	1.75	-5.53058178154271
Manes.01G025300.1.v7.1	0.31862	2.6	-7.16019082292386
Manes.01G025400.1.v7.1	0.03323	0	1
Manes.01G025500.1.v7.1	0.13042	5	-37.337678270204
Manes.01G025600.2.v7.1	0.1041	1	-8.60614793467819
Manes.01G025700.1.v7.1	0.36321	1	-1.75322816001762
Manes.01G025900.1.v7.1	0.13661	Inf	-Inf
Manes.01G026000.4.v7.1	0.54454	4.5	-7.26385573144305
Manes.01G026100.2.v7.1	0.19872	1.2	-5.03864734299517
Manes.01G026200.1.v7.1	0.40493	1.34615384615385	-2.32441124676821
Manes.01G026300.1.v7.1	0.06778	0.333333333333333	-3.91787154519523
Manes.01G026400.3.v7.1	0.23184	2.4	-9.351966873706
Manes.01G026500.2.v7.1	0.4989	1.66666666666667	-2.3406828355716
Manes.01G026600.1.v7.1	0.24156	0.666666666666667	-1.7598388254126
Manes.01G026700.1.v7.1	0.35333	2	-4.66043075878074
Manes.01G026800.2.v7.1	0.18472	0	1
Manes.01G026900.1.v7.1	0.53866	0.75	-0.392343964653028
Manes.01G027000.1.v7.1	0.12701	0.548387096774194	-3.31766866210687
Manes.01G027100.1.v7.1	0.17415	1	-4.74217628481194
Manes.01G027200.1.v7.1	0.22887	1	-3.36929261152619
Manes.01G027400.5.v7.1	0.12729	0.3	-1.35682300259251
Manes.01G027500.1.v7.1	0.31229	1	-2.20215184604054
Manes.01G027600.1.v7.1	0.25666	0.545454545454545	-1.12520277976523
Manes.01G027700.4.v7.1	0.21916	0.75	-2.42215732797956
Manes.01G027800.1.v7.1	0.10373	0.125	-0.205051576207462
Manes.01G027900.2.v7.1	0.36179	0.666666666666667	-0.842689589725164
Manes.01G028000.2.v7.1	0.5499	2.5	-3.54628114202582
Manes.01G028100.1.v7.1	0.25019	Inf	-Inf
Manes.01G028200.4.v7.1	0.22771	0.5	-1.19577532826841
Manes.01G028300.1.v7.1	0.17568	0.25	-0.42304189435337
Manes.01G028400.3.v7.1	0.26291	1.42857142857143	-4.43368996451801
Manes.01G028500.1.v7.1	0.04571	NA	NA
Manes.01G028600.1.v7.1	0.07218	0	1
Manes.01G028700.4.v7.1	0.11023	1.2	-9.88632858568448
Manes.01G028800.1.v7.1	0.15423	1.4	-8.07735200674317
Manes.01G028900.1.v7.1	0.15105	1	-5.6203243958954
Manes.01G029100.1.v7.1	0.31216	1.42857142857143	-3.57640770300945
Manes.01G029200.1.v7.1	0.27576	0.6	-1.17580504786771
Manes.01G029300.2.v7.1	0.33325	0.666666666666667	-1.00050012503126
Manes.01G029400.2.v7.1	0.22226	0.333333333333333	-0.49974504334263
Manes.01G029500.1.v7.1	0.58249	Inf	-Inf
Manes.01G029700.1.v7.1	0.18474	1.33333333333333	-6.21735051062753
Manes.01G029800.1.v7.1	0.1754	0.571428571428571	-2.25785958625183
Manes.01G029900.3.v7.1	0.41738	5.33333333333333	-11.7781238519654
Manes.01G030100.1.v7.1	2	1.66666666666667	0.166666666666665
Manes.01G030200.6.v7.1	0.32931	1	-2.03665239440041
Manes.01G030400.2.v7.1	0.19376	1.33333333333333	-5.88136526286814
Manes.01G030500.1.v7.1	0.35918	1.3	-2.61935519795089
Manes.01G030700.1.v7.1	0.39315	1.4	-2.56098181355717
Manes.01G030800.1.v7.1	0.2756	1.66666666666667	-5.04741170778908
Manes.01G030900.6.v7.1	0.1846	2	-9.83423618634886
Manes.01G031100.1.v7.1	0.14059	0.333333333333333	-1.37096047608886
Manes.01G031200.3.v7.1	0.10072	NA	NA
Manes.01G031300.1.v7.1	0.38571	0	1
Manes.01G031400.1.v7.1	0.13477	0.5	-2.71002448616161
Manes.01G031600.1.v7.1	0.18189	5	-26.4891417889933
Manes.01G031700.5.v7.1	0.25855	1	-2.8677238445175
Manes.01G031800.8.v7.1	0.2556	1.1	-3.30359937402191
Manes.01G031900.2.v7.1	0.24532	1.25	-4.09538561878363
Manes.01G032000.1.v7.1	0.31514	0.5	-0.586596433331218
Manes.01G032100.5.v7.1	0.17045	0.2	-0.173364623056615
Manes.01G032300.1.v7.1	0.12759	0.666666666666667	-4.22506988530972
Manes.01G032400.12.v7.1	0.28646	0.428571428571429	-0.496095191550056
Manes.01G032500.1.v7.1	0.04178	0.2	-3.78697941598851
Manes.01G032600.1.v7.1	0.2008	2	-8.9601593625498
Manes.01G032800.1.v7.1	0.06741	0.3125	-3.63581071057707
Manes.01G032900.2.v7.1	0.09358	1	-9.68604402650139
Manes.01G033000.2.v7.1	0.17918	0.666666666666667	-2.72065334672769
Manes.01G033100.1.v7.1	0.19022	3	-14.7712122805173
Manes.01G033200.6.v7.1	0.24565	0.333333333333333	-0.356944161747743
Manes.01G033250.1.v7.1	2	NA	NA
Manes.01G033300.1.v7.1	0.24183	0.375	-0.550676094777323
Manes.01G033400.1.v7.1	0.50372	0.75	-0.488922417215914
Manes.01G033500.1.v7.1	0.29208	2.625	-7.98726376335251
Manes.01G033600.1.v7.1	0.22355	4	-16.8930887944531
Manes.01G033700.1.v7.1	0.38734	0.75	-0.936283368616719
Manes.01G033800.1.v7.1	0.30179	0.25	0.171609397262998
Manes.01G034000.3.v7.1	0.28112	0.75	-1.66789982925441
Manes.01G034100.1.v7.1	0.30747	0.857142857142857	-1.78772841949737
Manes.01G034200.1.v7.1	0.25442	1.36363636363636	-4.35978446520069
Manes.01G034250.1.v7.1	0.36064	0.666666666666667	-0.848565513161787
Manes.01G034300.3.v7.1	0.13399	0	1
Manes.01G034400.1.v7.1	0.42085	1.6	-2.80182963050968
Manes.01G034500.1.v7.1	0.02519	0	1
Manes.01G034600.1.v7.1	0.30164	0.571428571428571	-0.894405819614676
Manes.01G034700.3.v7.1	0.30874	1	-2.23897130271426
Manes.01G034800.1.v7.1	0.26151	2.66666666666667	-9.19718812537444
Manes.01G035000.1.v7.1	0.27555	Inf	-Inf
Manes.01G035100.4.v7.1	0.37972	1	-1.63351943537343
Manes.01G035642.1.v7.1	0.67989	1.71428571428571	-1.5214162795242
Manes.01G035771.3.v7.1	0.45806	1.16666666666667	-1.54697346781354
Manes.01G036071.1.v7.1	1e-04	NA	NA
Manes.01G036200.3.v7.1	0.50393	1.66666666666667	-2.307337659331
Manes.01G036237.1.v7.1	0.33531	5.33333333333333	-14.9056793216228
Manes.01G036274.1.v7.1	0.68011	NA	NA
Manes.01G036300.1.v7.1	0.27884	0.727272727272727	-1.60820803067253
Manes.01G036311.1.v7.1	0.79488	NA	NA
Manes.01G036422.1.v7.1	0.77097	2.0625	-1.6752013697031
Manes.01G036500.7.v7.1	0.34232	0.75	-1.19093246085534
Manes.01G036600.1.v7.1	0.11147	0.6	-4.38261415627523
Manes.01G036700.1.v7.1	0.26022	0.842105263157895	-2.23612813449349
Manes.01G036800.1.v7.1	0.16145	0	1
Manes.01G036900.3.v7.1	0.14436	0.4	-1.7708506511499
Manes.01G037000.1.v7.1	0.11903	0.5	-3.20062169201042
Manes.01G037100.4.v7.1	0.35234	1.38888888888889	-2.94189955409233
Manes.01G037200.1.v7.1	0.26907	0.956521739130435	-2.55491782484274
Manes.01G037280.1.v7.1	0.17584	1.33333333333333	-6.58265089475279
Manes.01G037300.1.v7.1	0.21116	Inf	-Inf
Manes.01G037360.1.v7.1	0.14753	0.666666666666667	-3.51885492216273
Manes.01G037400.3.v7.1	0.18973	1	-4.27064776261002
Manes.01G037440.1.v7.1	0.07849	0.2	-1.54809529876417
Manes.01G037500.1.v7.1	0.07737	0.333333333333333	-3.30830209814312
Manes.01G037520.1.v7.1	0.2257	1.09090909090909	-3.83344745639827
Manes.01G037600.2.v7.1	0.01628	0	1
Manes.01G037700.1.v7.1	0.08087	0.166666666666667	-1.06092081942212
Manes.01G037900.1.v7.1	0.0879	0.454545454545455	-4.1711655807219
Manes.01G038000.1.v7.1	0.13074	0.285714285714286	-1.18536244236107
Manes.01G038033.6.v7.1	0.16686	1.2	-6.19165767709457
Manes.01G038100.1.v7.1	0.13187	0.619047619047619	-3.69437794075695
Manes.01G038200.2.v7.1	0.20914	0.666666666666667	-2.18765739058366
Manes.01G038300.1.v7.1	0.22457	0.538461538461538	-1.39774474979533
Manes.01G038400.1.v7.1	0.58223	3.63636363636364	-5.24557930090109
Manes.01G038566.2.v7.1	1e-04	NA	NA
Manes.01G038600.1.v7.1	0.26936	1.08333333333333	-3.02187902187901
Manes.01G038700.3.v7.1	0.1075	0	1
Manes.01G038900.1.v7.1	0.47153	1.16666666666667	-1.47421514361052
Manes.01G039100.2.v7.1	0.88199	4.66666666666667	-4.29106528040757
Manes.01G039200.1.v7.1	0.20202	0.6	-1.97000297000297
Manes.01G039300.1.v7.1	0.0904	0.545454545454545	-5.03378921962992
Manes.01G039400.2.v7.1	0.20578	2	-8.71911750413063
Manes.01G039500.1.v7.1	0.31883	1	-2.13646771006492
Manes.01G039600.1.v7.1	0.27852	0	1
Manes.01G039700.1.v7.1	0.05493	5	-90.0249408337885
Manes.01G040000.4.v7.1	0.22365	1.33333333333333	-4.96169610254116
Manes.01G040100.1.v7.1	0.26119	0.4	-0.531452199548222
Manes.01G040200.1.v7.1	0.01832	0.666666666666667	-35.3901018922853
Manes.01G040400.1.v7.1	0.02766	0.333333333333333	-11.0510966497951
Manes.01G040500.1.v7.1	0.27284	0.4	-0.466060694912769
Manes.01G040601.1.v7.1	0.29602	3.5	-10.8235254374704
Manes.01G040700.6.v7.1	0.11985	1	-7.34376303712975
Manes.01G041000.2.v7.1	0.72855	1.92857142857143	-1.6471366804906
Manes.01G041100.1.v7.1	0.3115	1.24324324324324	-2.99115005856578
Manes.01G041200.1.v7.1	0.36155	1	-1.76586917438805
Manes.01G041300.5.v7.1	0.1431	0.318181818181818	-1.22349278953052
Manes.01G041400.2.v7.1	0.48812	0.75	-0.536507416209129
Manes.01G041500.1.v7.1	0.77987	0	1
Manes.01G041700.1.v7.1	0.36218	1.64	-3.52813518140151
Manes.01G041800.1.v7.1	0.29149	1.23076923076923	-3.22233775007455
Manes.01G041900.2.v7.1	0.19851	0.923076923076923	-3.6500273189105
Manes.01G042100.2.v7.1	0.2206	5	-21.6654578422484
Manes.01G042200.1.v7.1	0.14255	0.625	-3.38442651701157
Manes.01G042400.4.v7.1	0.16836	0.214285714285714	-0.2727828123409
Manes.01G042600.3.v7.1	0.15003	0.875	-4.83216689995334
Manes.01G042700.7.v7.1	0.35998	0.944444444444444	-1.62360254582045
Manes.01G042800.1.v7.1	0.04817	0.4	-7.30392360390285
Manes.01G042900.1.v7.1	0.5969	1.33333333333333	-1.23376333277489
Manes.01G043000.4.v7.1	0.40946	2.2	-4.37293020075221
Manes.01G043100.1.v7.1	0.51381	0.875	-0.702964130709796
Manes.01G043200.4.v7.1	0.29074	0.9375	-2.22453050835798
Manes.01G043300.3.v7.1	0.09885	4.5	-44.5235204855842
Manes.01G043400.3.v7.1	0.14793	0.4	-1.70398161292503
Manes.01G043500.1.v7.1	0.26797	1.25	-3.66470127253051
Manes.01G043600.1.v7.1	0.18135	1.75	-8.64984835952578
Manes.01G043700.1.v7.1	0.13128	0.666666666666667	-4.07820434694292
Manes.01G043800.1.v7.1	0.19729	0.666666666666667	-2.37912041495599
Manes.01G043900.1.v7.1	0.09959	0	1
Manes.01G044000.1.v7.1	0.41824	4	-8.56388676358072
Manes.01G044020.1.v7.1	0.25136	1	-2.97835773392744
Manes.01G044040.1.v7.1	0.12178	0	1
Manes.01G044100.7.v7.1	0.50949	1.86363636363636	-2.65784679510169
Manes.01G044200.1.v7.1	0.15687	Inf	-Inf
Manes.01G044300.1.v7.1	0.31402	1.25	-2.98063817591236
Manes.01G044400.1.v7.1	0.12257	0.125	-0.0198254058905116
Manes.01G044600.3.v7.1	0.15911	1	-5.28496009050343
Manes.01G044700.1.v7.1	0.32466	3.11111111111111	-8.58267452445977
Manes.01G045000.2.v7.1	0.18682	2	-9.7054919173536
Manes.01G045150.1.v7.1	1.31922	0.428571428571429	0.675132708288664
Manes.01G045300.1.v7.1	0.20969	0.333333333333333	-0.589648210850937
Manes.01G045500.2.v7.1	0.08808	0.5	-4.67665758401453
Manes.01G045560.1.v7.1	0.4549	Inf	-Inf
Manes.01G045700.3.v7.1	0.52395	3	-4.72573718866304
Manes.01G045900.1.v7.1	0.42589	0.733333333333333	-0.721884367637965
Manes.01G046100.1.v7.1	0.25818	Inf	-Inf
Manes.01G046200.1.v7.1	0.26219	1.5	-4.72104199244823
Manes.01G046700.5.v7.1	0.09074	1.125	-11.3980603923297
Manes.01G047000.1.v7.1	0.28358	1	-2.52634177304464
Manes.01G047100.1.v7.1	1.04765	2	-0.909034505798692
Manes.01G047200.1.v7.1	0.26848	0.666666666666667	-1.48311481922924
Manes.01G047400.1.v7.1	0.21753	1.33333333333333	-5.12942276161141
Manes.01G048100.5.v7.1	0.20793	0.3	-0.442793247727601
Manes.01G048300.1.v7.1	0.31302	1.5	-3.79202606862181
Manes.01G048400.1.v7.1	0.35567	2	-4.62319003570726
Manes.01G048600.1.v7.1	0.2451	1.5	-5.11995104039168
Manes.01G048766.1.v7.1	0.21263	0.166666666666667	0.216165796610699
Manes.01G049700.1.v7.1	0.04178	0.5	-10.9674485399713
Manes.01G049800.5.v7.1	0.16339	0	1
Manes.01G049900.3.v7.1	0.09827	1.5	-14.2640683830264
Manes.01G050200.8.v7.1	0.28096	1.125	-3.00412870159453
Manes.01G050300.2.v7.1	0.2568	2	-6.78816199376947
Manes.01G050400.1.v7.1	0.31016	0.8	-1.57931390250193
Manes.01G050433.1.v7.1	0.44755	3	-5.70316165791532
Manes.01G050466.1.v7.1	0.32441	3	-8.24755710366512
Manes.01G050500.2.v7.1	0.32296	0.75	-1.32226901164231
Manes.01G050600.15.v7.1	0.19427	0.6	-2.0884850980594
Manes.01G050700.1.v7.1	0.26012	1.4	-4.38213132400431
Manes.01G050800.1.v7.1	0.14024	0.545454545454545	-2.88943629103355
Manes.01G050850.1.v7.1	0.27833	NA	NA
Manes.01G050900.2.v7.1	0.21022	0.533333333333333	-1.53702470427806
Manes.01G051000.1.v7.1	0.08726	0.666666666666667	-6.64000305600123
Manes.01G051200.1.v7.1	0.43039	5	-10.6173702920607
Manes.01G051301.1.v7.1	1.44356	2	-0.385463714705312
Manes.01G051400.3.v7.1	0.22703	1.2	-4.28564506893362
