Transcript	Total_SNPs	NonSyn_MAF0.01	NonSyn_MAF0.05	Del_MAF0.01	Del_MAF0.05	Nonsyn_Maf1_resid	Nonsyn_Maf5_resid	Del_Maf1_resid	Del_Maf5_resid
Manes.01G002500.1.v7.1	17	4	2	1	1	-0.695180082969941	-0.222483322009163	0.130243828030779	0.612209245440762
Manes.01G002600.1.v7.1	52	15	4	1	0	-2.93543772328739	-1.91389504529571	-0.294331012995699	-0.622461707933418
Manes.01G002800.1.v7.1	46	19	5	1	0	-1.44499574987159	-1.3666497807568	-0.221545419276681	-0.563514883978188
Manes.01G002901.1.v7.1	51	23	2	2	0	-1.30857589673644	-2.23780054770084	0.228177908014939	-0.612637128621789
Manes.01G003100.2.v7.1	66	37	5	2	0	-0.523474214979943	-2.55232130027642	0.0462177534153534	-0.760011208363132
Manes.01G003200.1.v7.1	32	13	4	1	0	-0.849711904058564	-0.728406414417731	-0.0517155864738236	-0.425977332345392
Manes.01G003300.1.v7.1	24	12	3	0	0	-0.0531962328153591	-0.445809027425294	-0.465045531592115	-0.347386642481957
Manes.01G003500.1.v7.1	56	33	7	0	0	-0.0446040043843963	-1.57627102662062	-0.853246260283013	-0.661760499152474
Manes.01G003700.1.v7.1	7	1	1	0	0	-0.0283991823156728	0.178644860890705	-0.25882570404997	-0.180383470037152
Manes.01G003800.1.v7.1	43	8	3	0	0	-3.14348452449772	-1.57196263978585	-0.695533945879962	-0.534042016214433
Manes.01G003900.1.v7.1	11	5	0	0	0	0.231064071390199	-0.249971673815513	-0.307347875639309	-0.219678298961391
Manes.01G004000.1.v7.1	76	44	22	7	5	-0.43857824855445	0.111663002266164	2.47716934596974	3.5969412769164
Manes.01G004100.2.v7.1	15	12	3	0	0	1.05430454542753	0.0875967914521477	-0.355870060454055	-0.258973092871491
Manes.01G004300.1.v7.1	8	4	1	0	0	0.412307147246304	0.119377116679954	-0.270956251059864	-0.190207184682557
Manes.01G004501.2.v7.1	30	15	5	1	0	-0.227758488905664	-0.418321168689188	-0.027454370255394	-0.406329547877147
Manes.01G004625.1.v7.1	12	10	0	0	0	1.04762781315944	-0.309239156392796	-0.319478416779954	-0.22950199777024
Manes.01G004800.1.v7.1	1	0	0	0	0	0.522009294693732	0.342706286302821	-0.186042257364319	-0.121440995726888
Manes.01G004820.1.v7.1	11	3	0	0	0	-0.144774518279636	-0.249971673815513	-0.307347875639309	-0.219678298961391
Manes.01G004880.1.v7.1	1	0	0	0	0	0.522009294693732	0.342706286302821	-0.186042257364319	-0.121440995726888
Manes.01G005000.2.v7.1	67	36	13	1	0	-0.834462493085239	-1.0788951356127	-0.47630142933141	-0.769836604928094
Manes.01G005033.1.v7.1	23	8	4	0	0	-0.681822355775476	-0.194995420850527	-0.452914861250135	-0.337562877855372
Manes.01G005066.1.v7.1	40	11	2	0	0	-2.21017234695277	-1.58570617310338	-0.6591401131674	-0.504569468752706
Manes.01G005100.5.v7.1	13	4	0	0	0	-0.202962054789848	-0.368506704801983	-0.331608960276454	-0.23932569557121
Manes.01G005233.1.v7.1	28	12	6	2	1	-0.545410210389005	-0.108240726758096	0.507182009538665	0.504144427409002
Manes.01G005500.2.v7.1	46	17	13	0	0	-1.82089256538082	0.165767364348706	-0.731928226487925	-0.563514883978188
Manes.01G005512.1.v7.1	8	3	0	0	0	0.224386467036836	-0.0721693140271222	-0.270956251059864	-0.190207184682557
Manes.01G005524.1.v7.1	2	0	0	0	0	0.398952944645078	0.283437773260762	-0.198172859056862	-0.131264769542984
Manes.01G005536.1.v7.1	6	3	0	0	0	0.470496351396183	0.0463658262608725	-0.246695151749568	-0.17055974848132
Manes.01G005548.1.v7.1	9	7	0	0	0	0.853022156542385	-0.131436783337462	-0.283086794308534	-0.200030893598056
Manes.01G005572.1.v7.1	2	2	0	0	0	0.774801760398779	0.283437773260762	-0.198172859056862	-0.131264769542984
Manes.01G005584.1.v7.1	5	2	1	0	0	0.405629995858693	0.297180899075233	-0.234564592629364	-0.160736018834529
Manes.01G005700.1.v7.1	7	5	2	0	0	0.723286897895445	0.370192272966469	-0.25882570404997	-0.180383470037152
Manes.01G006000.1.v7.1	15	5	1	0	0	-0.261149568053098	-0.295494827518395	-0.355870060454055	-0.258973092871491
Manes.01G006050.1.v7.1	1	0	0	0	0	0.522009294693732	0.342706286302821	-0.186042257364319	-0.121440995726888
Manes.01G006100.1.v7.1	4	1	0	0	0	0.340763742158314	0.164901440140868	-0.222434025160055	-0.150912279916243
Manes.01G006200.5.v7.1	24	11	3	1	0	-0.241114653291737	-0.445809027425294	0.0453292648511116	-0.347386642481957
Manes.01G006300.1.v7.1	17	6	0	0	0	-0.31933710636968	-0.605578170859879	-0.380131188406164	-0.278620500306156
Manes.01G006400.1.v7.1	8	5	4	1	1	0.60022952340972	0.694022744237145	0.239421012338049	0.70062921582956
Manes.01G007000.2.v7.1	15	10	4	0	0	0.678450424337846	0.279142753171173	-0.355870060454055	-0.258973092871491
Manes.01G007100.5.v7.1	91	63	25	3	1	1.28622586217961	-0.202727316079067	0.253342325389866	-0.114762895618578
Manes.01G007300.8.v7.1	48	35	11	2	0	1.31570754652474	-0.335860560665654	0.264569572908125	-0.583163656176075
Manes.01G007400.2.v7.1	38	21	1	1	0	-0.0846716382034667	-1.65872705826924	-0.124499419955715	-0.484921265981246
Manes.01G007500.1.v7.1	27	19	0	0	0	0.893086060655845	-1.19827649035535	-0.501437672977384	-0.376858020031703
Manes.01G007600.2.v7.1	46	12	4	1	0	-2.76077925352406	-1.55821961200621	-0.221545419276681	-0.563514883978188
Manes.01G007700.2.v7.1	32	13	3	0	0	-0.849711904058564	-0.919958962654794	-0.56209176824285	-0.425977332345392
Manes.01G007800.1.v7.1	22	3	0	0	0	-1.49841999754985	-0.901922669337058	-0.440784210085892	-0.327739125206285
Manes.01G007900.2.v7.1	17	8	3	0	0	0.0565006161357556	-0.0309377330737419	-0.380131188406164	-0.278620500306156
Manes.01G008000.1.v7.1	45	19	10	0	0	-1.32192783857499	-0.34960376650667	-0.719796747303056	-0.553690557166619
Manes.01G008100.1.v7.1	34	17	1	3	0	-0.344133914794906	-1.42162409503705	0.944785346148636	-0.445625207222427
Manes.01G008200.2.v7.1	16	4	4	0	0	-0.572124431951846	0.219875162085987	-0.368000620193668	-0.268796794731781
Manes.01G008250.5.v7.1	33	21	3	0	0	0.530595142502176	-0.979229290014833	-0.574222680003551	-0.43580125789253
Manes.01G008300.1.v7.1	26	20	16	0	0	1.20407702037377	1.92588133356209	-0.48930693592644	-0.367034212389618
Manes.01G008500.1.v7.1	17	6	1	0	0	-0.31933710636968	-0.414029861737824	-0.380131188406164	-0.278620500306156
Manes.01G008600.1.v7.1	28	12	8	0	0	-0.545410210389005	0.274849502169944	-0.513568435323265	-0.386681844373305
Manes.01G008800.1.v7.1	21	13	3	0	0	0.503883029989938	-0.268006588342831	-0.428653576570107	-0.317915383354204
Manes.01G008900.4.v7.1	14	3	2	0	0	-0.513936424668424	-0.0446815291702151	-0.343739507658068	-0.249149393544796
Manes.01G009000.1.v7.1	23	11	4	1	0	-0.118061674060663	-0.194995420850527	0.0574598847835896	-0.337562877855372
Manes.01G009100.1.v7.1	28	13	9	4	4	-0.357489870377049	0.466395969213969	1.52799401063977	3.17723238495333
Manes.01G009300.1.v7.1	33	18	8	1	0	-0.033162173174516	-0.021486248179869	-0.0638462023115192	-0.43580125789253
Manes.01G009350.3.v7.1	7	1	0	0	0	-0.0283991823156728	-0.0129017877293834	-0.25882570404997	-0.180383470037152
Manes.01G009451.1.v7.1	9	3	3	0	0	0.101332523543786	0.443203700261626	-0.283086794308534	-0.200030893598056
Manes.01G009500.2.v7.1	12	8	6	0	0	0.671773321613417	0.84004814480061	-0.319478416779954	-0.22950199777024
Manes.01G009700.1.v7.1	46	18	7	2	0	-1.63294079858158	-0.983526823198449	0.288830666031636	-0.563514883978188
Manes.01G009850.1.v7.1	36	27	14	0	0	1.28898520020336	0.949999510161112	-0.610615628229865	-0.4652731819528
Manes.01G009900.2.v7.1	25	13	8	1	1	0.011669158240904	0.452652212605766	0.0331986514906645	0.533616290649038
Manes.01G010000.1.v7.1	29	10	6	0	0	-1.0443180297322	-0.16750786012535	-0.525699224493408	-0.396505686594944
Manes.01G010100.1.v7.1	19	10	3	1	0	0.186231643666136	-0.149472111127017	0.105982460819343	-0.298267927319099
Manes.01G010300.3.v7.1	30	15	7	0	0	-0.227758488905664	-0.0352299391518229	-0.53783004201715	-0.406329547877147
Manes.01G010800.3.v7.1	39	25	9	0	0	0.543952266755325	-0.185544227469354	-0.647008927990742	-0.494745351933781
Manes.01G010866.1.v7.1	57	34	21	2	2	0.0202622587132817	1.04622525625062	0.155394336079655	1.11011831003549
Manes.01G011000.4.v7.1	46	26	6	1	0	-0.129503555425467	-1.1750857908103	-0.221545419276681	-0.563514883978188
Manes.01G011042.2.v7.1	31	17	6	0	0	0.0250251893659514	-0.286042385153659	-0.549960889423842	-0.416153429400449
Manes.01G011100.7.v7.1	24	9	3	1	0	-0.616955242497686	-0.445809027425294	0.0453292648511116	-0.347386642481957
Manes.01G011113.1.v7.1	18	9	3	0	0	0.121366123182568	-0.0902049250572431	-0.392261766620797	-0.2884442107751
Manes.01G011184.4.v7.1	29	14	13	0	0	-0.29262410330601	1.1733378828824	-0.525699224493408	-0.396505686594944
Manes.01G011200.1.v7.1	25	12	4	1	0	-0.176249070626032	-0.313529973112224	0.0331986514906645	-0.357210420266539
Manes.01G011300.1.v7.1	25	11	4	1	0	-0.364168024444206	-0.313529973112224	0.0331986514906645	-0.357210420266539
Manes.01G011400.2.v7.1	11	4	2	1	0	0.043144687822716	0.13312065433957	0.203028393254027	-0.219678298961391
Manes.01G011432.1.v7.1	30	19	11	1	1	0.523916857247993	0.730957261905568	-0.027454370255394	0.484496642944297
Manes.01G011600.4.v7.1	11	4	2	0	0	0.043144687822716	0.13312065433957	-0.307347875639309	-0.219678298961391
Manes.01G011700.3.v7.1	70	30	7	0	0	-2.33141371305685	-2.4062575276054	-1.02310355225691	-0.799313182946495
Manes.01G011800.2.v7.1	7	2	0	0	0	0.159520580517784	-0.0129017877293834	-0.25882570404997	-0.180383470037152
Manes.01G011998.1.v7.1	37	16	5	1	0	-0.901224493751817	-0.833201475586056	-0.112368752868506	-0.47509720971446
Manes.01G012000.1.v7.1	56	44	12	10	3	2.02268340573773	-0.618462151318032	4.25205279212504	2.0109070607071
Manes.01G012100.1.v7.1	46	22	6	0	0	-0.881193177946593	-1.1750857908103	-0.731928226487925	-0.563514883978188
Manes.01G012200.4.v7.1	31	17	9	1	1	0.0250251893659514	0.288593287091582	-0.0395849762982037	0.474672784478888
Manes.01G012300.1.v7.1	12	5	3	0	0	0.108010376349168	0.265399390209469	-0.319478416779954	-0.22950199777024
Manes.01G012400.1.v7.1	24	15	8	2	1	0.510560807573309	0.511920177019114	0.555705436609362	0.543440299529457
Manes.01G012500.1.v7.1	48	29	13	0	0	0.188147392931569	0.0472325624503722	-0.756191349452766	-0.583163656176075
Manes.01G012564.1.v7.1	53	33	20	4	3	0.324558875928634	1.09174815010417	1.22470846458589	2.04038004174695
Manes.01G012600.1.v7.1	41	24	9	0	0	0.10992492472044	-0.304079261386144	-0.671271343521447	-0.514393617618674
Manes.01G012700.1.v7.1	17	5	2	0	0	-0.507257551415806	-0.222483322009163	-0.380131188406164	-0.278620500306156
Manes.01G012800.2.v7.1	17	2	2	0	0	-1.07103449779693	-0.222483322009163	-0.380131188406164	-0.278620500306156
Manes.01G012900.3.v7.1	30	14	8	0	0	-0.415677735121777	0.156315040496512	-0.53783004201715	-0.406329547877147
Manes.01G013000.3.v7.1	74	39	32	5	4	-1.13211408332777	2.14591327786489	1.48040778261008	2.72521134723737
Manes.01G013100.1.v7.1	26	18	15	0	0	0.828217960360021	1.73429901197822	-0.48930693592644	-0.367034212389618
Manes.01G013300.3.v7.1	29	12	8	3	1	-0.668465567223864	0.215582223941404	1.00544123907616	0.494320523527488
Manes.01G013371.1.v7.1	30	16	8	0	0	-0.0398401795114703	0.156315040496512	-0.53783004201715	-0.406329547877147
Manes.01G013600.4.v7.1	39	14	3	1	0	-1.52322226689723	-1.33486187770827	-0.136630101880698	-0.494745351933781
Manes.01G013700.1.v7.1	29	18	10	1	1	0.459050564515088	0.598675993212893	-0.0153237668161319	0.494320523527488
Manes.01G013800.1.v7.1	27	13	9	0	0	-0.234436530941133	0.525663910610258	-0.501437672977384	-0.376858020031703
Manes.01G014000.5.v7.1	11	7	4	0	0	0.606906462797191	0.516215258106003	-0.307347875639309	-0.219678298961391
Manes.01G014100.1.v7.1	44	27	17	3	1	0.304522529431174	1.0505070698496	0.823476807088048	0.346964100013756
Manes.01G014500.1.v7.1	41	25	8	0	0	0.297844002727278	-0.495626503133287	-0.671271343521447	-0.514393617618674
Manes.01G014700.2.v7.1	51	22	7	1	1	-1.49651722873385	-1.27989059777757	-0.282199999007781	0.278198441927166
Manes.01G014800.1.v7.1	6	6	2	1	0	1.03427531254216	0.429460746726116	0.26368291105278	-0.17055974848132
Manes.01G014900.3.v7.1	28	14	5	1	0	-0.169571000809986	-0.299786125789632	-0.00319316445115604	-0.386681844373305
Manes.01G015300.1.v7.1	57	35	2	5	0	0.208183239650433	-2.59354153025392	1.68662755456261	-0.671585321355139
Manes.01G015400.1.v7.1	43	21	9	1	1	-0.699944304591336	-0.422615048693075	-0.185153008544724	0.356787778374127
Manes.01G015500.1.v7.1	23	11	6	1	1	-0.118061674060663	0.188094876780601	0.0574598847835896	0.553264337611062
Manes.01G015600.1.v7.1	5	4	3	0	0	0.78147795199499	0.680280208680521	-0.234564592629364	-0.160736018834529
Manes.01G015700.1.v7.1	17	3	1	0	0	-0.883105474066054	-0.414029861737824	-0.380131188406164	-0.278620500306156
Manes.01G015800.1.v7.1	53	26	11	2	1	-0.990901293926293	-0.632204570529637	0.203916763439178	0.258551104699283
Manes.01G016000.4.v7.1	16	5	0	0	0	-0.384203270733154	-0.54631005207136	-0.368000620193668	-0.268796794731781
Manes.01G016300.3.v7.1	26	8	5	1	0	-1.0509966108699	-0.181251604821924	0.0210680431729804	-0.367034212389618
Manes.01G016600.1.v7.1	33	8	6	0	0	-1.91247933607727	-0.404577459271856	-0.574222680003551	-0.43580125789253
Manes.01G016800.1.v7.1	22	5	0	2	0	-1.1225456907158	-0.901922669337058	0.579967347137579	-0.327739125206285
Manes.01G016900.1.v7.1	22	8	4	2	1	-0.558766930645503	-0.135728253498415	0.579967347137579	0.563088406074463
Manes.01G017000.1.v7.1	25	9	4	1	0	-0.740011198820469	-0.313529973112224	0.0331986514906645	-0.357210420266539
Manes.01G017200.1.v7.1	25	6	1	0	0	-1.30380072295049	-0.888177816341787	-0.477176222641118	-0.357210420266539
Manes.01G017300.1.v7.1	12	6	2	2	0	0.295929883197801	0.0738531652539111	0.701279359131238	-0.22950199777024
Manes.01G017500.1.v7.1	14	7	2	0	0	0.237741726688426	-0.0446815291702151	-0.343739507658068	-0.249149393544796
Manes.01G017532.1.v7.1	25	17	4	0	0	0.763350283285254	-0.313529973112224	-0.477176222641118	-0.357210420266539
Manes.01G017548.2.v7.1	7	7	2	4	1	1.0991446971525	0.370192272966469	1.78279263812317	0.710453881704205
Manes.01G017600.1.v7.1	70	32	9	2	1	-1.95546510186209	-2.02304616415324	-0.00230589582192493	0.0915469720294242
Manes.01G017800.1.v7.1	46	17	13	0	0	-1.82089256538082	0.165767364348706	-0.731928226487925	-0.563514883978188
Manes.01G017900.1.v7.1	54	28	18	2	1	-0.738104730205835	0.64936718628438	0.191786176169292	0.24872742912516
Manes.01G018000.1.v7.1	42	24	9	6	1	-0.013128156446907	-0.363347045512861	2.37911058899617	0.366611463505803
Manes.01G018200.1.v7.1	40	28	12	0	0	0.984670423394709	0.329825342035659	-0.6591401131674	-0.504569468752706
Manes.01G018300.2.v7.1	43	21	13	0	0	-0.699944304591336	0.343569639666518	-0.695533945879962	-0.534042016214433
Manes.01G018400.3.v7.1	19	4	1	0	0	-0.941295055679909	-0.532565432081388	-0.404392356366825	-0.298267927319099
Manes.01G018600.1.v7.1	41	24	17	4	3	0.10992492472044	1.22832065271874	1.37028061826662	2.15827945814962
Manes.01G018700.1.v7.1	31	19	13	1	1	0.400862626490479	1.05479527037179	-0.0395849762982037	0.474672784478888
Manes.01G018800.1.v7.1	26	11	5	2	2	-0.487222017955856	-0.181251604821924	0.531443661488085	1.41466725038174
Manes.01G018900.1.v7.1	82	56	37	2	1	1.07822175247559	2.62971804500264	-0.147880739018735	-0.0263423238436594
Manes.01G019100.1.v7.1	32	16	8	0	0	-0.285946110800403	0.0377808351401081	-0.56209176824285	-0.425977332345392
Manes.01G019200.1.v7.1	46	21	13	5	3	-1.06912271287122	0.165767364348706	1.82007345282511	2.10915317560641
Manes.01G019300.1.v7.1	46	27	13	2	1	0.058415586036712	0.165767364348706	0.288830666031636	0.32731675888501
Manes.01G019400.1.v7.1	41	16	9	1	0	-1.39347635294958	-0.304079261386144	-0.160891516361235	-0.514393617618674
Manes.01G019600.4.v7.1	31	6	3	0	0	-2.04223917182435	-0.860689059274285	-0.549960889423842	-0.416153429400449
Manes.01G019700.1.v7.1	47	17	2	1	0	-1.94397260560556	-2.00066216751089	-0.233676274959988	-0.57333924992108
Manes.01G019900.1.v7.1	45	22	9	0	0	-0.758134512245679	-0.541151835041342	-0.719796747303056	-0.553690557166619
Manes.01G020000.1.v7.1	35	12	3	0	0	-1.40683109852792	-1.09777133952308	-0.598484608467638	-0.455449181515655
Manes.01G020100.5.v7.1	41	9	1	1	0	-2.70923992302588	-1.83656235297715	-0.160891516361235	-0.514393617618674
Manes.01G020200.2.v7.1	6	3	1	0	0	0.470496351396183	0.237912778120342	-0.246695151749568	-0.17055974848132
Manes.01G020300.2.v7.1	9	6	3	0	0	0.665096417600335	0.443203700261626	-0.283086794308534	-0.200030893598056
Manes.01G020400.2.v7.1	25	10	3	3	1	-0.552088476177466	-0.505076822808194	1.05396690700784	0.533616290649038
Manes.01G020500.3.v7.1	21	6	1	0	0	-0.811557778644857	-0.651101784193606	-0.428653576570107	-0.317915383354204
Manes.01G020600.1.v7.1	46	10	3	1	1	-3.13680804589386	-1.74979610365162	-0.221545419276681	0.32731675888501
Manes.01G020700.3.v7.1	33	24	8	0	0	1.09437210092545	-0.021486248179869	-0.574222680003551	-0.43580125789253
Manes.01G020800.1.v7.1	49	35	18	8	4	1.19264357867736	0.945713155536066	3.31540464942079	2.97084207418237
Manes.01G021100.1.v7.1	10	7	5	0	0	0.729963569057433	0.767035249888503	-0.295217335325258	-0.209854597964164
Manes.01G021200.2.v7.1	16	1	0	0	0	-1.13590512792945	-0.54631005207136	-0.368000620193668	-0.268796794731781
Manes.01G021300.1.v7.1	19	8	5	0	0	-0.189605408564091	0.233618654717877	-0.404392356366825	-0.298267927319099
Manes.01G021500.1.v7.1	19	12	4	1	0	0.56207175996897	0.0420731818950142	0.105982460819343	-0.298267927319099
Manes.01G021600.4.v7.1	4	1	0	0	0	0.340763742158314	0.164901440140868	-0.222434025160055	-0.150912279916243
Manes.01G021700.1.v7.1	24	11	2	0	0	-0.241114653291737	-0.637357309564189	-0.465045531592115	-0.347386642481957
Manes.01G021800.1.v7.1	62	40	17	6	2	0.532520503853394	-0.0163274364767084	2.13646180667037	1.06100136867187
Manes.01G021900.1.v7.1	53	22	9	0	0	-1.74266548975019	-1.01531388429639	-0.816850188392112	-0.632286333461373
Manes.01G022000.1.v7.1	10	2	0	0	0	-0.209640509966535	-0.190704226365324	-0.295217335325258	-0.209854597964164
Manes.01G022300.7.v7.1	66	22	6	2	0	-3.34303878538419	-2.36070420959745	0.0462177534153534	-0.760011208363132
Manes.01G022400.1.v7.1	23	14	7	0	0	0.445694637074085	0.379640822052408	-0.452914861250135	-0.337562877855372
Manes.01G022600.2.v7.1	38	23	6	6	2	0.2911655927822	-0.700919158887849	2.42764549683612	1.29677137772357
Manes.01G022750.1.v7.1	49	23	13	2	0	-1.06244639378836	-0.0120349161189783	0.252439022834065	-0.592988103923973
Manes.01G022900.1.v7.1	8	4	2	0	0	0.412307147246304	0.310924057554923	-0.270956251059864	-0.190207184682557
Manes.01G023000.1.v7.1	17	11	1	1	0	0.620260875316117	-0.414029861737824	0.130243828030779	-0.278620500306156
Manes.01G023200.1.v7.1	31	12	7	3	3	-0.914580128992176	-0.0944970300941996	0.98117873215074	2.25653921157748
Manes.01G023300.1.v7.1	18	10	5	0	0	0.309285129740891	0.292886172444492	-0.392261766620797	-0.2884442107751
Manes.01G023400.1.v7.1	16	5	3	0	0	-0.384203270733154	0.0283294955278824	-0.368000620193668	-0.268796794731781
Manes.01G023700.1.v7.1	9	2	0	1	0	-0.0865869102219123	-0.131436783337462	0.22729011030775	-0.200030893598056
Manes.01G023900.2.v7.1	17	13	9	1	1	0.996112516576892	1.11836167513351	0.130243828030779	0.612209245440762
Manes.01G024000.1.v7.1	12	3	1	0	0	-0.26782807748451	-0.117692744086024	-0.319478416779954	-0.22950199777024
Manes.01G024100.1.v7.1	22	15	5	0	0	0.756672470720109	0.0558168538630211	-0.440784210085892	-0.327739125206285
Manes.01G024200.1.v7.1	14	11	4	0	0	0.989435524738721	0.338410527609408	-0.343739507658068	-0.249149393544796
Manes.01G024300.1.v7.1	39	15	4	2	1	-1.33528144115936	-1.14329944921316	0.37374457877837	0.396082571333466
Manes.01G024400.3.v7.1	12	2	2	0	0	-0.455748570393585	0.0738531652539111	-0.319478416779954	-0.22950199777024
Manes.01G024600.1.v7.1	59	34	24	4	2	-0.225847444903565	1.50237923619001	1.15192493244611	1.09047144393078
Manes.01G024700.1.v7.1	19	8	3	2	0	-0.189605408564091	-0.149472111127017	0.616360493582833	-0.298267927319099
Manes.01G025000.3.v7.1	34	22	6	0	0	0.595461830349898	-0.463845279002782	-0.586353626235343	-0.445625207222427
Manes.01G025100.2.v7.1	30	11	3	1	0	-0.979448824595377	-0.801419549162268	-0.027454370255394	-0.406329547877147
Manes.01G025200.1.v7.1	40	25	7	0	0	0.420897806367158	-0.627906870834186	-0.6591401131674	-0.504569468752706
Manes.01G025300.1.v7.1	42	28	13	2	0	0.738554376574758	0.402837206916766	0.337352866999717	-0.524217799712354
Manes.01G025400.1.v7.1	13	1	0	0	0	-0.766727395270067	-0.368506704801983	-0.331608960276454	-0.23932569557121
Manes.01G025500.1.v7.1	14	9	5	0	0	0.613583577906357	0.529958316040267	-0.343739507658068	-0.249149393544796
Manes.01G025600.2.v7.1	14	4	1	0	0	-0.326015648306584	-0.236227434692725	-0.343739507658068	-0.249149393544796
Manes.01G025700.1.v7.1	18	8	3	0	0	-0.0665523841689684	-0.0902049250572431	-0.392261766620797	-0.2884442107751
Manes.01G025900.1.v7.1	10	6	4	0	0	0.542039840035526	0.575484073023224	-0.295217335325258	-0.209854597964164
Manes.01G026000.4.v7.1	40	27	9	0	0	0.796743198059264	-0.244811665606836	-0.6591401131674	-0.504569468752706
Manes.01G026100.2.v7.1	20	14	9	0	0	0.814862415901723	0.940547982613258	-0.416522959173507	-0.308091651118638
Manes.01G026200.1.v7.1	113	63	36	0	0	-1.4213047696183	0.600487189497144	-1.54493785119337	-1.22189312178683
Manes.01G026300.1.v7.1	20	7	2	1	1	-0.500578863601734	-0.400285553200105	0.0938517993059603	0.582736638869163
Manes.01G026400.3.v7.1	24	15	13	3	3	0.510560807573309	1.46970407736655	1.06609846918024	2.32532725718892
Manes.01G026500.2.v7.1	14	9	7	0	0	0.613583577906357	0.913061506123983	-0.343739507658068	-0.249149393544796
Manes.01G026600.1.v7.1	6	3	2	0	0	0.470496351396183	0.429460746726116	-0.246695151749568	-0.17055974848132
Manes.01G026700.1.v7.1	37	23	8	0	0	0.414219265696274	-0.25855516883788	-0.622746687051475	-0.47509720971446
Manes.01G026800.2.v7.1	17	4	0	1	0	-0.695180082969941	-0.605578170859879	0.130243828030779	-0.278620500306156
Manes.01G026900.1.v7.1	8	4	3	0	0	0.412307147246304	0.502472327197837	-0.270956251059864	-0.190207184682557
Manes.01G027000.1.v7.1	65	25	17	2	1	-2.65584949063508	-0.194133093833379	0.0583485859501483	0.140666327954554
Manes.01G027100.1.v7.1	18	7	3	0	0	-0.254471165265553	-0.0902049250572431	-0.392261766620797	-0.2884442107751
Manes.01G027200.1.v7.1	27	13	3	0	0	-0.234436530941133	-0.623613071341186	-0.501437672977384	-0.376858020031703
Manes.01G027400.5.v7.1	23	9	3	0	0	-0.493900354642722	-0.38654141035693	-0.452914861250135	-0.337562877855372
Manes.01G027500.1.v7.1	10	4	2	0	0	0.166198297790745	0.192388278947813	-0.295217335325258	-0.209854597964164
Manes.01G027600.1.v7.1	38	19	6	4	2	-0.460510262289751	-0.700919158887849	1.40667495786005	1.29677137772357
Manes.01G027700.4.v7.1	20	10	3	1	0	0.0631785795825023	-0.208739321987416	0.0938517993059603	-0.308091651118638
Manes.01G027800.1.v7.1	28	7	1	0	0	-1.48506102381661	-1.0659887197115	-0.513568435323265	-0.386681844373305
Manes.01G027900.2.v7.1	39	22	8	0	0	-0.0198061682236396	-0.377090411459077	-0.647008927990742	-0.494745351933781
Manes.01G028000.2.v7.1	28	19	7	0	0	0.770028343870796	0.0833042097051103	-0.513568435323265	-0.386681844373305
Manes.01G028100.1.v7.1	11	5	1	0	0	0.231064071390199	-0.0584253848957637	-0.307347875639309	-0.219678298961391
