RowNum	Transcript	PnPs	dNdS	Alpha_original	Alpha_Asymptotic	Alpha_Default	Mk_test	NI
25	Manes.01G003200.1.v7.1	0.571428571428571	0.22	-7.33333333333333	-1.65957446808511	-1.11670419634129	-1.5974025974026	2.5974025974026
26	Manes.01G003300.1.v7.1	1	0.19134	-5.09734852444166	-3.62981898827946	-5.27998799637194	-4.22629873523571	5.22629873523571
27	Manes.01G003500.1.v7.1	2.33333333333333	0.35382	-0.995032369400193	-2.61042062175751	-2.11863133736065	-5.59469033218396	6.59469033218396
28	Manes.01G003700.1.v7.1	NA	0.04858	-60.7538081515027	-5.17538081515027	-12.113154323529	NA	NA
29	Manes.01G003800.1.v7.1	0.428571428571429	0.02265	-186.637969094923	-8.97913453687744	-6.75834351961877	-17.9214758751183	18.9214758751183
30	Manes.01G003900.1.v7.1	0	0.12485	-15.0192230676812	-4.89212802489424	-8.57923701990776	1	0
31	Manes.01G004000.1.v7.1	1.22222222222222	0.20589	-3.27412696099859	-1.80122485815975	0.861609994305566	-4.93628744583137	5.93628744583137
32	Manes.01G004100.2.v7.1	2	0.27684	0.397967538409671	-16.1103962767778	-14.0567138187934	-6.22438953908395	7.22438953908395
33	Manes.01G004300.1.v7.1	NA	1e-04	NA	NA	NA	NA	NA
34	Manes.01G004501.2.v7.1	0.625	0.19281	-5.91527064640492	-4.05624914418101	-4.46586667601575	-2.24153311550231	3.24153311550231
35	Manes.01G004625.1.v7.1	NA	2	NA	NA	NA	NA	NA
36	Manes.01G004800.1.v7.1	0	1e-04	NA	NA	NA	1	0
37	Manes.01G004820.1.v7.1	0	0.21616	NA	NA	NA	1	0
38	Manes.01G004880.1.v7.1	NA	1e-04	NA	NA	NA	NA	NA
39	Manes.01G004933.1.v7.1	NA	0.7143	NA	NA	NA	NA	NA
40	Manes.01G005000.2.v7.1	1.85714285714286	0.35775	-1.09643605870021	-2.05793404224866	-1.29628976961938	-4.19117500249577	5.19117500249577
41	Manes.01G005033.1.v7.1	1.33333333333333	0.11956	-14.0552024088324	-1.74339243894279	0.767057691223853	-10.1520017843203	11.1520017843203
42	Manes.01G005066.1.v7.1	0.2	0.24081	-9.08501070790843	-1.11131998792465	-1.53602353192035	0.169469706407541	0.830530293592459
43	Manes.01G005100.5.v7.1	0	0.29921	-9.02640286086695	-0.136325657564921	-0.0969747216056044	1	0
44	Manes.01G005233.1.v7.1	0.857142857142857	0.20697	-7.28277390097944	-0.924627960393562	0.076664436943392	-3.14138695048972	4.14138695048972
45	Manes.01G005500.2.v7.1	0.6875	0.15474	-8.69367972082202	-4.43791789216845	-6.54097546810728	-3.44293653871009	4.44293653871009
46	Manes.01G005512.1.v7.1	NA	0.19422	NA	NA	NA	NA	NA
47	Manes.01G005524.1.v7.1	NA	0.68923	NA	NA	NA	NA	NA
48	Manes.01G005536.1.v7.1	NA	1.64013	NA	NA	NA	NA	NA
49	Manes.01G005548.1.v7.1	NA	1.1648	0.570741758241758	-0.690204326923077	-0.749919687167671	NA	NA
50	Manes.01G005572.1.v7.1	NA	0.19565	NA	NA	NA	NA	NA
51	Manes.01G005584.1.v7.1	1	0.71749	-0.393747648050844	-0.161456373375703	-4.66790710207343	-0.393747648050844	1.39374764805084
52	Manes.01G005600.1.v7.1	NA	1.40987	NA	NA	NA	NA	NA
53	Manes.01G005700.1.v7.1	1	1.21239	0.725060967730406	-3.24191649787374	-3.87872661011614	0.175182903191217	0.824817096808783
54	Manes.01G006000.1.v7.1	0.333333333333333	0.12849	-9.37694243391185	-4.50292401798356	-8.94796161170349	-1.59423560847796	2.59423560847796
55	Manes.01G006050.1.v7.1	NA	0.3107	NA	NA	NA	NA	NA
56	Manes.01G006100.1.v7.1	0	0.04462	-88.6458987001345	-5.14828066306232	-6.75665958174887	1	0
57	Manes.01G006200.5.v7.1	1.5	0.19032	-6.35603194619588	-1.86372266016427	-1.08859229829006	-6.88146279949559	7.88146279949559
58	Manes.01G006300.1.v7.1	0	0.2401	-10.1064834096904	-1.93087756644608	-4.55327478408923	1	0
59	Manes.01G006400.1.v7.1	NA	0.11759	-0.700824900076537	-11.6273363793561	-0.72597150478197	NA	NA
60	Manes.01G007000.2.v7.1	2	0.34858	-0.434390957599404	-7.326464583138	-6.96896718298572	-4.73756383039761	5.73756383039761
61	Manes.01G007100.5.v7.1	2.18181818181818	0.56778	0.0393206075336476	-1.78250833043182	-1.08031089949151	-2.84271756986541	3.84271756986541
62	Manes.01G007300.8.v7.1	2.2	0.49485	-0.212488632919066	-2.41596738218598	-2.26580332373877	-3.44579165403658	4.44579165403658
63	Manes.01G007400.2.v7.1	0.25	0.31064	-6.51137436689845	-0.518960423486166	-0.449650955769438	0.195209889260881	0.804790110739119
64	Manes.01G007500.1.v7.1	0	0.46927	-0.917872440173034	-1.5084104486068	-1.63196677093141	1	0
65	Manes.01G007600.2.v7.1	0.25	0.15083	-21.0999359101859	-1.83858458247597	-1.87534890995206	-0.65749519326394	1.65749519326394
66	Manes.01G007700.2.v7.1	1.5	0.13247	-14.0977579829395	-2.69056306249633	-2.5198661460968	-10.3233184872047	11.3233184872047
67	Manes.01G007800.1.v7.1	0	0.05719	-261.283616016786	-0.402145117070869	-0.267464743643531	1	0
68	Manes.01G007900.2.v7.1	0.5	0.24071	-5.64700261725728	-1.35488729087323	-1.49067562608083	-1.0771883178929	2.0771883178929
69	Manes.01G008000.1.v7.1	0.833333333333333	0.08741	-14.2537848453648	-8.47289186256729	-9.75942101995031	-8.53361552835297	9.53361552835297
70	Manes.01G008100.1.v7.1	0.333333333333333	0.19314	-4.75287931609771	-5.00177940079418	-5.8316827679082	-0.72586379482931	1.72586379482931
71	Manes.01G008200.2.v7.1	2	0.35583	-1.81033077593233	-0.641233173144479	-0.633882496141839	-4.62066155186465	5.62066155186465
72	Manes.01G008250.5.v7.1	3	0.66238	0.32901892502122	-2.10568383275893	-1.84196334040786	-3.52912225610677	4.52912225610677
73	Manes.01G008300.1.v7.1	2.6	0.37126	-0.243167757201049	-3.993623294375	-0.301490180034564	-6.00317836556591	7.00317836556591
74	Manes.01G008500.1.v7.1	0.25	0.27616	-11.6738122827346	0.0374319785264826	0.190156744770947	0.0947276940903824	0.905272305909618
75	Manes.01G008600.1.v7.1	0.875	0.24403	-4.00849166996772	-1.29263355177137	-1.03398634035137	-2.58562471827234	3.58562471827234
76	Manes.01G008800.1.v7.1	3	0.14144	-3.04007756948933	-11.1556719853933	-10.8332120767041	-20.210407239819	21.210407239819
77	Manes.01G008900.4.v7.1	0.285714285714286	0.19555	-16.8982357453337	-0.355460194138867	-1.44213117245225	-0.461080469006832	1.46108046900683
78	Manes.01G009000.1.v7.1	0.8	0.2033	-8.83767830791933	-0.876258233984615	0.806105052602362	-2.93507132316773	3.93507132316773
79	Manes.01G009100.1.v7.1	2.66666666666667	0.28196	-1.7866161360274	-2.38997007428398	-1.76889220413582	-8.45760627985058	9.45760627985058
80	Manes.01G009300.1.v7.1	2.66666666666667	0.27036	-3.06864920846279	-0.665759024741374	0.727205329057824	-8.86339202051587	9.86339202051587
81	Manes.01G009350.3.v7.1	NA	0.07259	-67.8800110208018	-1.73753889954469	-1.79038109162227	NA	NA
82	Manes.01G009451.1.v7.1	3	0.04402	-36.861578070574	-11.0683780099955	-8.95120281808151	-67.1508405270332	68.1508405270332
83	Manes.01G009500.2.v7.1	3	2	0.833333333333333	0.35	4.25555555555555	-0.5	1.5
84	Manes.01G009700.1.v7.1	0.538461538461538	0.23301	-7.04686494141882	-2.24673507201594	-3.81442322544255	-1.31089454727925	2.31089454727925
85	Manes.01G009850.1.v7.1	1.71428571428571	0.73049	0.315527933305042	-2.4589351767333	-5.42952509827992	-1.34676137152557	2.34676137152557
86	Manes.01G009900.2.v7.1	1	0.50108	-0.632836709072041	-1.62667931385854	-5.22051977048572	-0.99568931108805	1.99568931108805
87	Manes.01G010000.1.v7.1	0.454545454545455	0.17306	-14.0236912053623	-2.98237136940477	-6.49444034511601	-1.62651944149691	2.62651944149691
88	Manes.01G010100.1.v7.1	1.5	0.13162	-5.5122538910717	-8.55993120874764	-9.83405819026692	-10.3964443093755	11.3964443093755
89	Manes.01G010300.3.v7.1	0.7	0.54896	-0.987228743276543	-1.48403592909568	-5.24257037318304	-0.275138443602448	1.27513844360245
90	Manes.01G010800.3.v7.1	3.5	0.56858	0.179241853975401	-2.29301140654247	-2.47103293790513	-5.1556860951845	6.1556860951845
91	Manes.01G010866.1.v7.1	1.5	0.82358	0.313706754286957	-1.46153710298056	-1.47753992222946	-0.821316690546152	1.82131669054615
92	Manes.01G011000.4.v7.1	0.384615384615385	0.20536	-3.38254772107519	-7.45919111404113	-9.99270353302611	-0.872883641485124	1.87288364148512
93	Manes.01G011042.2.v7.1	0.857142857142857	0.5389	-0.670068658378178	-2.75615800405845	-5.98130113617307	-0.590541579407788	1.59054157940779
94	Manes.01G011100.7.v7.1	0.375	0.26062	-11.470263218479	0.285263948262138	0.707496542200263	-0.438876525209117	1.43887652520912
95	Manes.01G011113.1.v7.1	1.5	0.4252	-2.29256820319849	-0.663492646215267	0.218448569607796	-2.5277516462841	3.5277516462841
96	Manes.01G011184.4.v7.1	1.3	0.21846	-2.66199761970155	-4.6414557925132	-4.87301409446367	-4.95074613201501	5.95074613201501
97	Manes.01G011200.1.v7.1	0.5	0.19043	-5.75163727203847	-4.67008665245494	-7.40186168636382	-1.62563671690385	2.62563671690385
98	Manes.01G011300.1.v7.1	0.5	0.24392	-6.17448343719252	-0.848227583351704	-0.63707164697045	-1.04985241062644	2.04985241062644
99	Manes.01G011400.2.v7.1	0.25	0.09354	-73.834295488561	-1.27832749730982	0.7945180754674	-1.67265341030575	2.67265341030575
100	Manes.01G011432.1.v7.1	1.42857142857143	2	0.681818181818182	-0.391566265060241	-0.465729297584136	0.285714285714285	0.714285714285715
101	Manes.01G011600.4.v7.1	0.5	0.35199	-4.68197960169323	-0.316556249172822	1.41913823555347	-0.420494900423307	1.42049490042331
102	Manes.01G011700.3.v7.1	0.35	0.42658	-3.85589706837773	-0.255112457671332	-0.333122523063977	0.17952084017066	0.82047915982934
103	Manes.01G011800.2.v7.1	0	0.06239	NA	NA	NA	1	0
104	Manes.01G011998.1.v7.1	0.5	0.27613	-5.03580439165128	-1.42382696042689	-1.41599881027762	-0.810741317495383	1.81074131749538
105	Manes.01G012000.1.v7.1	2.4	0.4896	0.124649859943977	-4.08675692499222	-4.86379031525991	-3.90196078431373	4.90196078431373
106	Manes.01G012100.1.v7.1	0.545454545454545	0.28009	-3.28433717733586	-2.93362816060704	-8.34475936340256	-0.947425989698115	1.94742598969811
107	Manes.01G012200.4.v7.1	0.818181818181818	0.24601	-2.72613579393792	-4.66618996764113	-14.044299521409	-2.32580715491979	3.32580715491979
108	Manes.01G012300.1.v7.1	0.666666666666667	0.35768	-2.72772683217774	-1.7957951241333	-2.23706693520043	-0.86386341608887	1.86386341608887
109	Manes.01G012400.1.v7.1	2	0.42595	-0.280560031587147	-3.63250213807791	-3.91425239218597	-3.69538678248621	4.69538678248621
110	Manes.01G012500.1.v7.1	0.857142857142857	0.44944	-1.35587292944946	-1.09372318852907	-1.22771242275622	-0.907135228601942	1.90713522860194
111	Manes.01G012564.1.v7.1	1.28571428571429	0.76195	0.125051950040466	-1.13479813906436	-1.58759983132825	-0.687399810636249	1.68739981063625
112	Manes.01G012600.1.v7.1	1.125	0.34758	-1.49343076893569	-1.78774819391616	-1.75938204291668	-2.23666494044536	3.23666494044536
113	Manes.01G012700.1.v7.1	0.666666666666667	0.18899	-13.1100940085013	-0.235689370504982	0.179993024606752	-2.52752350212533	3.52752350212533
114	Manes.01G012800.2.v7.1	0.333333333333333	0.13437	-28.7685495274243	-1.19447640747038	-4.02662313334338	-1.48071246061869	2.48071246061869
115	Manes.01G012900.3.v7.1	0.8	0.06899	-20.742281490071	-7.47187832794244	-3.09313471827963	-10.5958834613712	11.5958834613712
116	Manes.01G013000.3.v7.1	1.42105263157895	0.41933	-0.726892736113521	-1.69510167720261	-1.57997032517523	-2.38886469267391	3.38886469267391
117	Manes.01G013100.1.v7.1	2.5	0.4057	-0.0783830416563964	-1.87806275031666	0.750658530684293	-5.16218880946512	6.16218880946512
118	Manes.01G013300.3.v7.1	1	0.38223	-2.59731051984407	-0.667202736469624	-0.608057723194915	-1.61622583261387	2.61622583261387
119	Manes.01G013371.1.v7.1	1.4	0.44183	-1.0118346171353	-1.38105860033787	-1.62147968199431	-2.16863952198809	3.16863952198809
120	Manes.01G013600.4.v7.1	0.428571428571429	0.12491	-27.0201745256585	-1.53381087581712	-0.128348691981605	-2.43104177865206	3.43104177865206
121	Manes.01G013700.1.v7.1	2.5	0.16828	-2.46644481419856	-8.3012680728806	-4.85836434690495	-13.856192060851	14.856192060851
122	Manes.01G013800.1.v7.1	1.14285714285714	0.35203	-1.84066698860893	-4.16236596968353	-7.85675749804815	-2.24647655841019	3.24647655841019
123	Manes.01G014000.5.v7.1	NA	0.34968	0.523373751239228	-7.83160402115548	-5.87206644231408	NA	NA
124	Manes.01G014100.1.v7.1	1.14285714285714	0.32918	-1.39830391946815	-3.59896983075791	-4.81286309471595	-2.47183043580151	3.47183043580151
125	Manes.01G014500.1.v7.1	1.75	0.20959	-1.72641142911671	-8.13167271705812	-8.87554896819375	-7.34963500166993	8.34963500166993
126	Manes.01G014700.2.v7.1	1.16666666666667	0.16997	-7.82508678002	-2.16371035510151	-1.34900646939679	-5.86395638446002	6.86395638446002
127	Manes.01G014800.1.v7.1	NA	0.49723	NA	NA	NA	NA	NA
128	Manes.01G014900.3.v7.1	0.714285714285714	0.17915	-10.1638291934133	-1.37107876674266	0.730407529782714	-2.98708185479048	3.98708185479048
129	Manes.01G015300.1.v7.1	0.666666666666667	0.23192	-3.31183166609176	-3.7752528264661	-3.63811677738338	-1.87455444406117	2.87455444406117
130	Manes.01G015400.1.v7.1	0.615384615384615	0.16445	-7.29210315376323	-4.91351209620057	-13.3836393404847	-2.74207732067264	3.74207732067264
131	Manes.01G015500.1.v7.1	1.2	0.40435	-1.47310498330654	-1.75846325061114	-2.05300580224094	-1.96772597996785	2.96772597996785
132	Manes.01G015600.1.v7.1	NA	0.58487	0.430072779706032	-2.590541487852	0.611763863468921	NA	NA
133	Manes.01G015700.1.v7.1	0.125	0.13445	-36.1885459278542	-0.447338003678651	-1.60283880183951	0.0702863518036444	0.929713648196356
134	Manes.01G015800.1.v7.1	2.2	0.21827	-2.97061743101052	-3.36262106273449	-1.73836918429957	-9.07925963256517	10.0792596325652
135	Manes.01G016000.4.v7.1	0	0.04911	-60.0873549175321	-10.1816930966581	-18.8169055170454	1	0
136	Manes.01G016300.3.v7.1	0.375	0.0715	-26.972027972028	-4.01165501165501	-12.7417180520629	-4.24475524475525	5.24475524475525
137	Manes.01G016600.1.v7.1	0.375	0.21233	-13.1289502189987	-1.62505086036042	-7.9009307571323	-0.766118777374841	1.76611877737484
138	Manes.01G016800.1.v7.1	0	0.05774	-224.147211638379	-1.79338972256053	-5.34037337432423	1	0
139	Manes.01G016900.1.v7.1	0.666666666666667	0.04844	-29.9661436829067	-18.0560884202503	-80.1263811883135	-12.7627305257363	13.7627305257363
140	Manes.01G017000.1.v7.1	0.363636363636364	0.10802	-24.4582484725051	-1.53760113985284	0.400785551042346	-2.36637996330646	3.36637996330646
141	Manes.01G017200.1.v7.1	0.125	0.10707	-33.2455091684568	-2.90008795724683	-6.2750064700236	-0.167460539833754	1.16746053983375
142	Manes.01G017300.1.v7.1	2	0.05429	-11.2797323018358	-22.484988027261	-12.8741168990903	-35.8391969055075	36.8391969055075
143	Manes.01G017500.1.v7.1	NA	0.15147	-3.40131159085407	-3.23708354641922	-0.733396736559293	NA	NA
144	Manes.01G017532.1.v7.1	NA	2	NA	NA	NA	NA	NA
145	Manes.01G017548.2.v7.1	NA	1e-04	NA	NA	NA	NA	NA
146	Manes.01G017600.1.v7.1	0.6	0.37133	-2.25997445880881	-1.27611096469132	-2.12298805657832	-0.615813427409582	1.61581342740958
147	Manes.01G017800.1.v7.1	1	0.20917	-4.0995203263693	-3.76262235803977	-5.11179997132364	-3.78080030597122	4.78080030597122
148	Manes.01G017900.1.v7.1	0.944444444444444	0.36273	-1.18252327259026	-3.8474990580689	-8.86495615024908	-1.60371197431821	2.60371197431821
149	Manes.01G018000.1.v7.1	0.75	0.2386	-4.93741268510757	-1.99871315065582	-1.58183646145285	-2.14333612740989	3.14333612740989
150	Manes.01G018200.1.v7.1	1.5	0.34194	-1.01058665262912	-2.70435359029849	-1.28567184569652	-3.38673451482716	4.38673451482716
151	Manes.01G018300.2.v7.1	0.928571428571429	0.20158	-3.63008896385223	-5.4265033508014	-3.70974265597548	-3.60646606097544	4.60646606097544
152	Manes.01G018400.3.v7.1	0.125	0.22475	-15.3144234334446	-0.551581529334588	-1.64149960102452	0.443826473859844	0.556173526140156
153	Manes.01G018600.1.v7.1	1.41666666666667	0.21421	-2.68551274081754	-5.23783621937222	-3.75541961856532	-5.61344786268928	6.61344786268928
154	Manes.01G018700.1.v7.1	2.16666666666667	0.30286	-0.834364246039607	-4.32603671089239	-5.64056657983108	-6.15402055955448	7.15402055955448
155	Manes.01G018800.1.v7.1	0.416666666666667	0.17584	-7.84642604387827	-3.06213440790329	-4.59838559422125	-1.36957840461025	2.36957840461025
156	Manes.01G018900.1.v7.1	2.25	0.26404	-0.988335100742312	-5.62778366914104	-4.37329078720124	-7.52143614603848	8.52143614603848
157	Manes.01G019100.1.v7.1	2	0.18778	-2.19522845883481	-5.02433699009479	-3.02376137066476	-9.65076152944935	10.6507615294494
158	Manes.01G019200.1.v7.1	0.866666666666667	0.31239	-2.8413521559589	-1.94096454814285	-1.48368483810619	-1.77430989041476	2.77430989041476
159	Manes.01G019300.1.v7.1	1.375	0.31374	-1.04901237603475	-4.64817627184743	-5.08698662203002	-3.38260980429655	4.38260980429655
160	Manes.01G019400.1.v7.1	0.8	0.22267	-6.85916378497328	-1.06761593211461	1.72562299107333	-2.59276058741636	3.59276058741636
161	Manes.01G019600.4.v7.1	0.272727272727273	0.1092	-40.2087912087912	0.13488968788508	0.178585418611091	-1.4975024975025	2.4975024975025
162	Manes.01G019700.1.v7.1	0.0833333333333333	0.25326	-8.87127852799495	-1.4557814874524	-3.06615140126801	0.670957382400169	0.329042617599831
163	Manes.01G019900.1.v7.1	0.75	0.15696	-9.08749575263337	-3.36484698635782	-3.46123487375183	-3.7782874617737	4.7782874617737
164	Manes.01G020000.1.v7.1	0.230769230769231	0.2211	-9.1763907734057	-1.58075616155534	-2.1185414969391	-0.0437323870159703	1.04373238701597
165	Manes.01G020100.5.v7.1	0.2	0.13854	-30.278571772292	-0.856091072201943	-0.697317111164923	-0.4436263894904	1.4436263894904
166	Manes.01G020200.2.v7.1	1	0.12229	-7.17728350641917	-9.69337073916353	-7.7828860886822	-7.17728350641917	8.17728350641917
167	Manes.01G020300.2.v7.1	3	0.1887	-2.97456279809221	-4.6691438360385	-3.10633593745549	-14.8982511923688	15.8982511923688
168	Manes.01G020400.2.v7.1	0.333333333333333	0.27089	-11.3051176984508	0.107733171628924	0.495236771162066	-0.230511769845077	1.23051176984508
169	Manes.01G020500.3.v7.1	0.5	0.14819	-7.09771239624806	-5.05951267746453	-6.4065769968371	-2.37404683177003	3.37404683177003
170	Manes.01G020600.1.v7.1	0.333333333333333	0.16341	-15.6102791401121	-0.764313393384146	-1.02344296954249	-1.03985884176815	2.03985884176815
171	Manes.01G020700.3.v7.1	2.66666666666667	0.229	-1.49532127261385	-6.81765896261583	-6.51564606685046	-10.6448326055313	11.6448326055313
172	Manes.01G020800.1.v7.1	1.71428571428571	0.11963	-6.76202815824984	-4.58172645226006	0.111982350624075	-13.3298981383074	14.3298981383074
173	Manes.01G021100.1.v7.1	0.666666666666667	0.56508	-1.35954791062032	-0.0112348188372822	-1.03082863516899	-0.179773955310163	1.17977395531016
174	Manes.01G021200.2.v7.1	0	0.01694	-589.318772136954	-6.68902602363259	-12.1236828909116	1	0
175	Manes.01G021250.1.v7.1	6	2	0.916666666666667	-0.545454545454545	-12.0857142857143	-2	3
176	Manes.01G021300.1.v7.1	0.833333333333333	0.32975	-3.2456406368461	-1.66277113112299	-2.28072231029016	-1.52716704574172	2.52716704574172
177	Manes.01G021500.1.v7.1	0.8	0.36502	-1.34820792598449	-2.66084922974278	-9.21142203684566	-1.19166073091885	2.19166073091885
178	Manes.01G021600.4.v7.1	0	0.08447	NA	NA	NA	1	0
179	Manes.01G021700.1.v7.1	0.333333333333333	0.2726	-6.33675715333822	-1.37948880648807	-2.48521898544974	-0.222792858889703	1.2227928588897
180	Manes.01G021800.1.v7.1	1.33333333333333	0.38243	-0.86775544357324	-3.11404265704399	-3.7308189880982	-2.48647682800337	3.48647682800337
181	Manes.01G021900.1.v7.1	0.571428571428571	0.14496	-10.7273730684327	-2.84604114165153	-1.81414436857656	-2.94197414064963	3.94197414064963
182	Manes.01G022000.1.v7.1	0	0.06082	NA	NA	NA	1	0
183	Manes.01G022300.7.v7.1	0.352941176470588	0.16244	-14.3902979561684	-1.2540867160419	-1.42172592396654	-1.17274794675319	2.17274794675319
184	Manes.01G022400.1.v7.1	1	0.36102	-0.938950750650933	-3.15489446568057	-5.88500193866709	-1.76992964378705	2.76992964378705
185	Manes.01G022600.2.v7.1	1.5	0.19709	-6.32885709292427	-0.962654037448311	0.0858131768048456	-6.6107362118829	7.6107362118829
186	Manes.01G022750.1.v7.1	1	0.19366	-4.80915005680058	-3.55196272356344	-2.7988042137757	-4.16368893937829	5.16368893937829
187	Manes.01G022900.1.v7.1	1	0.15799	-5.32951452623584	-9.49773140936675	-11.1919721338019	-5.32951452623584	6.32951452623584
188	Manes.01G023000.1.v7.1	0.25	0.36977	-0.545362174942725	-7.30095584943193	-17.1602644014981	0.323904048462558	0.676095951537442
189	Manes.01G023200.1.v7.1	0.636363636363636	0.12123	-15.4975666089252	-2.42641768031523	0.361584093086197	-4.24922573920346	5.24922573920346
190	Manes.01G023300.1.v7.1	1.25	0.30306	-1.35691187977864	-2.61227757574495	-3.86263233299911	-3.12459578961262	4.12459578961262
191	Manes.01G023400.1.v7.1	0.5	0.33884	-5.88623932632904	0.150720740843283	0.691631706742083	-0.475622712784795	1.4756227127848
192	Manes.01G023700.1.v7.1	0	0.08703	NA	NA	NA	1	0
193	Manes.01G023900.2.v7.1	4	0.18877	-0.324362981405944	-16.7190633374312	-6.01708631994165	-20.1898077024951	21.1898077024951
194	Manes.01G024000.1.v7.1	0.333333333333333	0.15268	-9.91607719849795	-2.72899571452339	-3.14538031612959	-1.18321543969959	2.18321543969959
195	Manes.01G024100.1.v7.1	2.5	0.28322	0.411529317609397	-12.8516945239634	-123.713751046637	-7.82706023585905	8.82706023585905
196	Manes.01G024200.1.v7.1	3	0.51382	0.443940902039069	-3.52022234471467	-2.47125871032197	-4.83862052858978	5.83862052858978
197	Manes.01G024300.1.v7.1	0.8	0.17238	-5.32851311584343	-4.24676215377804	-4.29708172752984	-3.64090961828518	4.64090961828518
198	Manes.01G024400.3.v7.1	0.4	0.14243	-10.7016546139624	-2.55993999523364	-2.20464361279733	-1.80839710735098	2.80839710735098
199	Manes.01G024600.1.v7.1	2	0.268	-1.00918484500574	-4.04145936981758	-1.44304113075177	-6.46268656716418	7.46268656716418
200	Manes.01G024700.1.v7.1	3	0.12053	-11.4450344312619	-2.36895881573555	-0.117857118103344	-23.8900688625239	24.8900688625239
201	Manes.01G025000.3.v7.1	3	0.34369	-0.636649306060694	-3.748565951976	-3.3646681775425	-7.72879629899037	8.72879629899037
202	Manes.01G025100.2.v7.1	0.428571428571429	0.13722	-9.020405188748	-4.35180731671768	-5.22850446626488	-2.12324317571366	3.12324317571366
203	Manes.01G025200.1.v7.1	1.75	0.26797	-2.73176101802441	-1.75084097900085	-0.698261331320881	-5.53058178154271	6.53058178154271
204	Manes.01G025300.1.v7.1	2.6	0.31862	-0.0461783106312639	-7.4898498877127	-5.58092560457295	-7.16019082292386	8.16019082292386
205	Manes.01G025400.1.v7.1	0	0.03323	NA	NA	NA	1	0
206	Manes.01G025500.1.v7.1	5	0.13042	-2.06701426161632	-11.4597454378163	14.6442813946265	-37.337678270204	38.337678270204
207	Manes.01G025600.2.v7.1	1	0.1041	-24.6163944924752	-2.68562410555	-2.90969114242332	-8.60614793467819	9.60614793467819
208	Manes.01G025700.1.v7.1	1	0.36321	-2.67097088002349	-0.517805267702022	0.271765192307027	-1.75322816001762	2.75322816001762
